x1,y1,z1,x2,y2
-2.457646747,-0.4087490697,0.08083924428,[Horizons] SMALL BODY #C(500@10)_T(757 Portlandia (A908 TG)) (1/1),SMALL
0.9537442986,-2.100190002,0.3472390947,[Horizons] SMALL BODY #C(500@10)_T(688 Melanie (A909 QC)) (1/1),SMALL
-2.624441125,-0.1867217591,-0.4602455823,[Horizons] SMALL BODY #C(500@10)_T(607 Jenny (A906 SH)) (1/1),SMALL
0.2447660289,-1.785596578,-0.09880571972,[Horizons] SMALL BODY #C(500@10)_T(800 Kressmannia (A915 FG)) (1/1),SMALL
-2.279251055,1.324972668,-0.3954457614,[Horizons] SMALL BODY #C(500@10)_T(619 Triberga (A906 UN)) (1/1),SMALL
-1.83775959,-2.037351936,0.07685605288,[Horizons] SMALL BODY #C(500@10)_T(668 Dora (A908 OH)) (1/1),SMALL
0.9531121522,1.786285459,0.1366249191,[Horizons] SMALL BODY #C(500@10)_T(678 Fredegundis (A909 BQ)) (1/1),SMALL
2.589201444,-1.58894999,0.7240261544,[Horizons] SMALL BODY #C(500@10)_T(754 Malabar (A906 QH)) (1/1),SMALL
-2.369728625,-0.73164692,-0.007737895056,[Horizons] SMALL BODY #C(500@10)_T(615 Roswitha (A906 TF)) (1/1),SMALL
2.066733079,-2.060468588,0.5279749523,[Horizons] SMALL BODY #C(500@10)_T(713 Luscinia (A911 HG)) (1/1),SMALL
2.974747141,0.3891761348,-0.8779391625,[Horizons] SMALL BODY #C(500@10)_T(739 Mandeville (A913 CH)) (1/1),SMALL
-1.106034107,2.350371643,0.1371445152,[Horizons] SMALL BODY #C(500@10)_T(708 Raphaela (A911 CB)) (1/1),SMALL
1.82067038,1.235464717,0.1415982677,[Horizons] SMALL BODY #C(500@10)_T(711 Marmulla (A911 EA)) (1/1),SMALL
2.450113255,-1.429031812,0.2730714754,[Horizons] SMALL BODY #C(500@10)_T(657 Gunlod (A908 BK)) (1/1),SMALL
-2.490116308,-1.105118541,0.6926166383,[Horizons] SMALL BODY #C(500@10)_T(727 Nipponia (A912 CF)) (1/1),SMALL
-2.649436828,0.4450619427,0.4184763185,[Horizons] SMALL BODY #C(500@10)_T(740 Cantabia (A913 CK)) (1/1),SMALL
0.7945617473,-2.948881498,-0.3834128858,[Horizons] SMALL BODY #C(500@10)_T(661 Cloelia (A908 DD)) (1/1),SMALL
-0.4888898021,-3.620358484,-0.4462979337,[Horizons] SMALL BODY #C(500@10)_T(645 Agrippina (A907 RP)) (1/1),SMALL
2.142891921,-1.948122944,0.06132616269,[Horizons] SMALL BODY #C(500@10)_T(716 Berkeley (A911 OC)) (1/1),SMALL
-3.201197416,-0.9635523138,-0.5481488054,[Horizons] SMALL BODY #C(500@10)_T(608 Adolfine (A906 SJ)) (1/1),SMALL
1.521750811,-1.203283317,-0.4341349149,[Horizons] SMALL BODY #C(500@10)_T(679 Pax (A909 BR)) (1/1),SMALL
2.687059257,-1.575953565,0.9808910988,[Horizons] SMALL BODY #C(500@10)_T(683 Lanzia (A909 OA)) (1/1),SMALL
-2.540984995,-0.4418053563,-0.3002692627,[Horizons] SMALL BODY #C(500@10)_T(647 Adelgunde (A907 RM)) (1/1),SMALL
3.571635951,0.5751349611,0.1386385442,[Horizons] SMALL BODY #C(500@10)_T(748 Simeisa (A913 EL)) (1/1),SMALL
-0.1534744861,2.096057938,0.03131123312,[Horizons] SMALL BODY #C(500@10)_T(728 Leonisis (A912 DB)) (1/1),SMALL
-2.441829027,-0.3364044131,-0.4509489372,[Horizons] SMALL BODY #C(500@10)_T(714 Ulula (A911 KG)) (1/1),SMALL
5.353918906,-0.3303999132,0.4159680804,[Horizons] SMALL BODY #C(500@10)_T(624 Hektor (A907 CF)) (1/1),SMALL
1.394421057,-3.583062286,0.004907225795,[Horizons] SMALL BODY #C(500@10)_T(648 Pippa (A907 RN)) (1/1),SMALL
-2.079963669,-1.958311853,0.5703884646,[Horizons] SMALL BODY #C(500@10)_T(653 Berenike (A907 WC)) (1/1),SMALL
3.179927531,-1.268044138,0.4306043531,[Horizons] SMALL BODY #C(500@10)_T(762 Pulcova (A913 RD)) (1/1),SMALL
-2.188823542,-1.64155172,-0.6545461713,[Horizons] SMALL BODY #C(500@10)_T(779 Nina (A914 BH)) (1/1),SMALL
2.226687593,2.448601085,0.1229074595,[Horizons] SMALL BODY #C(500@10)_T(774 Armor (A913 YE)) (1/1),SMALL
-0.6107401766,-2.712524029,-0.3570805899,[Horizons] SMALL BODY #C(500@10)_T(772 Tanete (A913 YD)) (1/1),SMALL
-2.129820929,1.178095231,0.5839963126,[Horizons] SMALL BODY #C(500@10)_T(674 Rachele (A908 UK)) (1/1),SMALL
-2.971264848,-0.8406429118,0.9067962189,[Horizons] SMALL BODY #C(500@10)_T(781 Kartvelia (A914 BK)) (1/1),SMALL
-1.488977548,1.477479401,0.1577421671,[Horizons] SMALL BODY #C(500@10)_T(782 Montefiore (A914 FA)) (1/1),SMALL
0.3708451714,-2.816325552,-0.3090264368,[Horizons] SMALL BODY #C(500@10)_T(742 Edisona (A913 DC)) (1/1),SMALL
-2.199115514,-2.134570675,-0.4809338109,[Horizons] SMALL BODY #C(500@10)_T(775 Lumiere (A914 AA)) (1/1),SMALL
-2.730837953,-0.6812474742,-0.004692631027,[Horizons] SMALL BODY #C(500@10)_T(637 Chrysothemis (A907 EN)) (1/1),SMALL
-0.2517651098,0.9504655582,-0.00004064690938,[Horizons] MAJOR BODY #C(500@10)_T(399) (1/1),BIG
2.886012247,-0.3104890451,-0.04693882245,[Horizons] SMALL BODY #C(500@10)_T(723 Hammonia (A911 UO)) (1/1),SMALL
-0.8061533653,2.865281019,-0.2422270874,[Horizons] SMALL BODY #C(500@10)_T(744 Aguntina (A913 DE)) (1/1),SMALL
1.310704923,-1.314851579,0.002469848102,[Horizons] SMALL BODY #C(500@10)_T(736 Harvard (A912 WC)) (1/1),SMALL
-1.030125235,2.629228343,0.4057882461,[Horizons] SMALL BODY #C(500@10)_T(706 Hirundo (A910 TF)) (1/1),SMALL
-2.917855075,-0.6700409319,-0.02942134714,[Horizons] SMALL BODY #C(500@10)_T(658 Asteria (A908 BL)) (1/1),SMALL
-2.38933209,2.599408788,-0.5637968396,[Horizons] SMALL BODY #C(500@10)_T(719 Albert (A911 TB)) (1/1),SMALL
2.392752911,1.652080968,-0.00223605319,[Horizons] SMALL BODY #C(500@10)_T(720 Bohlinia (A911 UL)) (1/1),SMALL
2.87418846,-0.9676763197,0.2160147091,[Horizons] SMALL BODY #C(500@10)_T(635 Vundtia (A907 LA)) (1/1),SMALL
1.951536172,1.795710968,-0.656557024,[Horizons] SMALL BODY #C(500@10)_T(660 Crescentia (A908 AN)) (1/1),SMALL
-2.009811538,-1.570468429,0.5003430538,[Horizons] SMALL BODY #C(500@10)_T(628 Christine (A907 EK)) (1/1),SMALL
-3.329717842,1.677000603,0.01912776145,[Horizons] SMALL BODY #C(500@10)_T(717 Wisibada (A911 QK)) (1/1),SMALL
1.782049535,-2.110949439,0.4554612915,[Horizons] SMALL BODY #C(500@10)_T(681 Gorgo (A909 JB)) (1/1),SMALL
-2.89550868,1.686489383,0.614604486,[Horizons] SMALL BODY #C(500@10)_T(731 Sorga (A912 GH)) (1/1),SMALL
-2.00918684,1.938921527,-0.4468916158,[Horizons] SMALL BODY #C(500@10)_T(695 Bella (A909 VD)) (1/1),SMALL
-3.361512961,-0.771660938,0.3382667413,[Horizons] SMALL BODY #C(500@10)_T(758 Mancunia (A912 KB)) (1/1),SMALL
-3.102001192,-1.374324996,-0.6860764154,[Horizons] SMALL BODY #C(500@10)_T(687 Tinette (A909 QB)) (1/1),SMALL
0.09076755703,-2.248597702,-0.517649785,[Horizons] SMALL BODY #C(500@10)_T(735 Marghanna (A912 XD)) (1/1),SMALL
2.749571159,0.2954206383,0.4116750283,[Horizons] SMALL BODY #C(500@10)_T(792 Metcalfia (A907 FC)) (1/1),SMALL
-1.694904139,-2.680034262,0.6962053937,[Horizons] SMALL BODY #C(500@10)_T(745 Mauritia (A913 EH)) (1/1),SMALL
-2.762862639,-0.8003766078,0.1597807864,[Horizons] SMALL BODY #C(500@10)_T(738 Alagasta (A913 AF)) (1/1),SMALL
1.009114563,-2.292234616,-0.003004907982,[Horizons] SMALL BODY #C(500@10)_T(644 Cosima (A907 RG)) (1/1),SMALL
1.063219254,2.772144687,-0.6687246316,[Horizons] SMALL BODY #C(500@10)_T(676 Melitta (A909 BO)) (1/1),SMALL
0.2229257866,-2.594683878,-0.273310885,[Horizons] SMALL BODY #C(500@10)_T(665 Sabine (A908 OE)) (1/1),SMALL
4.214091787,-1.736662544,-0.08193494063,[Horizons] SMALL BODY #C(500@10)_T(659 Nestor (A908 FE)) (1/1),SMALL
-0.9526884735,-2.826094382,0.2059555347,[Horizons] SMALL BODY #C(500@10)_T(614 Pia (A906 TE)) (1/1),SMALL
2.447188695,-1.739652936,0.07731623438,[Horizons] SMALL BODY #C(500@10)_T(609 Fulvia (A906 SL)) (1/1),SMALL
-1.022885561,2.30634088,0.1585451938,[Horizons] SMALL BODY #C(500@10)_T(606 Brangane (A906 SK)) (1/1),SMALL
